"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,108.0,0.0,0.00024396181106567383,"[[[[Premise]]]]: 身上 裹 一件 [[工厂]] 发 的 [[棉大衣]] , 手 插 在 [[袖筒]] 里
[[[[Hypothesis]]]]: [[身上]] 至少 一件 衣服",0.0,0.0002757906913757324,"[[[[Premise]]]]: 身上 裹 一件 [[制糖厂]] 发 的 [[棉衣]] , 手 插 在 [[布单]] 里
[[[[Hypothesis]]]]: [[手上]] 至少 一件 衣服","Failed"
0.0,1.0,1.0,0.9940698742866516,"[[[[Premise]]]]: 东 、 中 、 西部 地区 要 加强 多种形式 的 合作 , 在 协调 发展 中 逐步 实现 共同富裕
[[[[Hypothesis]]]]: 东 、 中 、 西部 地区 发展 存在 不 协调",1.0,0.9940698742866516,"[[[[Premise]]]]: 东 、 中 、 西部 地区 要 加强 多种形式 的 合作 , 在 协调 发展 中 逐步 实现 共同富裕
[[[[Hypothesis]]]]: 东 、 中 、 西部 地区 发展 存在 不 协调","Skipped"
1.0,1.0,2.0,0.9763970971107483,"[[[[Premise]]]]: 外贸 经营权 进一步 放开
[[[[Hypothesis]]]]: 外贸 经营权 经历 了 先 收缩 再 放开 的 过程 。",2.0,0.9763970971107483,"[[[[Premise]]]]: 外贸 经营权 进一步 放开
[[[[Hypothesis]]]]: 外贸 经营权 经历 了 先 收缩 再 放开 的 过程 。","Skipped"
1.0,20.0,1.0,0.00015735626220703125,"[[[[Premise]]]]: 一些 地方 财政收支 矛盾 较大
[[[[Hypothesis]]]]: 地方 经历 了 [[经济危机]]",0.0,0.99336177110672,"[[[[Premise]]]]: 一些 地方 财政收支 矛盾 较大
[[[[Hypothesis]]]]: 地方 经历 了 [[经济波动]]","Successful"
0.0,55.0,0.0,0.0006015300750732422,"[[[[Premise]]]]: 等 他 回来 , [[我们]] 就 出去 [[吃]] [[啊]] .
[[[[Hypothesis]]]]: [[我们]] 在 等 他",1.0,0.9996782541275024,"[[[[Premise]]]]: 等 他 回来 , [[戴新]] 就 出去 [[蒸点]] [[嘛]] .
[[[[Hypothesis]]]]: [[她们]] 在 等 他","Successful"
0.0,40.0,0.0,0.01310586929321289,"[[[[Premise]]]]: 我 觉得 你 看吧 , 咱们 从 专业 角度 , 咱们 刚刚 说 了 , [[物理学]] 咱们 都 没有 办法 去 判断 他 到底 怎么 排名
[[[[Hypothesis]]]]: 他 学习 物理学",1.0,0.9999619722366333,"[[[[Premise]]]]: 我 觉得 你 看吧 , 咱们 从 专业 角度 , 咱们 刚刚 说 了 , [[经济学]] 咱们 都 没有 办法 去 判断 他 到底 怎么 排名
[[[[Hypothesis]]]]: 他 学习 物理学","Successful"
2.0,36.0,2.0,9.059906005859375e-05,"[[[[Premise]]]]: 否则 , 我们 的 高 要求 得不到 落实 , 也 影响 了 我们 的 低 目标 的 实现
[[[[Hypothesis]]]]: 我们 的 要求 落实 与否 [[无所谓]] 。",1.0,0.99995356798172,"[[[[Premise]]]]: 否则 , 我们 的 高 要求 得不到 落实 , 也 影响 了 我们 的 低 目标 的 实现
[[[[Hypothesis]]]]: 我们 的 要求 落实 与否 [[完年]] 。","Successful"
1.0,30.0,1.0,9.238719940185547e-05,"[[[[Premise]]]]: 因此 , 日本 舆论 曾 盛传 海部 内阁 是 过渡性 政权
[[[[Hypothesis]]]]: 此 舆论 在 中国 传播 范围 [[同样]] 广泛",0.0,0.9478498101234436,"[[[[Premise]]]]: 因此 , 日本 舆论 曾 盛传 海部 内阁 是 过渡性 政权
[[[[Hypothesis]]]]: 此 舆论 在 中国 传播 范围 [[段离]] 广泛","Successful"
0.0,25.0,0.0,0.000646054744720459,"[[[[Premise]]]]: 阿嗲说 , 谢谢你们 , 生日 还 送 了 东西 .
[[[[Hypothesis]]]]: 阿 嗲 [[收到]] 生日礼物",2.0,0.9999305009841919,"[[[[Premise]]]]: 阿嗲说 , 谢谢你们 , 生日 还 送 了 东西 .
[[[[Hypothesis]]]]: 阿 嗲 [[收不到]] 生日礼物","Successful"
1.0,1.0,0.0,0.9998839497566223,"[[[[Premise]]]]: 他 当时 每次 喝酒 喝大 , 有 一次 喝酒 喝得 太大 我 就 把 他 拽 到 我们 家 , 因为 我 知道 他 一定 最后 以 吐出来 为 终点
[[[[Hypothesis]]]]: 我 去过 他家",0.0,0.9998839497566223,"[[[[Premise]]]]: 他 当时 每次 喝酒 喝大 , 有 一次 喝酒 喝得 太大 我 就 把 他 拽 到 我们 家 , 因为 我 知道 他 一定 最后 以 吐出来 为 终点
[[[[Hypothesis]]]]: 我 去过 他家","Skipped"
